0.02941176 0.97058824
0.02941176 0.97058824
0.05882353 0.94117647
0.08823529 0.91176471
0.11764706 0.88235294
0.14705882 0.85294118
0.17647059 0.82352941
0.20588235 0.79411765
0.23529412 0.76470588
0.26470588 0.73529412
0.29411765 0.70588235
0.32352941 0.67647059
0.35294118 0.64705882
0.38235294 0.61764706
0.41176471 0.58823529
0.44117647 0.55882353
0.47058824 0.52941176
0.50000000 0.50000000
0.52941176 0.47058824
0.55882353 0.44117647
0.58823529 0.41176471
0.61764706 0.38235294
0.64705882 0.35294118
0.67647059 0.32352941
0.70588235 0.29411765
0.73529412 0.26470588
0.76470588 0.23529412
0.79411765 0.20588235
0.82352941 0.17647059
0.85294118 0.14705882
0.88235294 0.11764706
0.91176471 0.08823529
0.94117647 0.05882353
0.97058824 0.02941176
1.00000000 0.00000000
